	Hallucination	Intrinsic	Extrinsic	Both
Generation : Adam West starred in SuperCapers which starred Adam West.	yes	yes	no	no
Sent-level factuality probability: 0.48614490032196045				
				
input_triples : ['Super_Capers | distributor | Lionsgate', 'Super_Capers | starring | Justin_Whalin', 'Super_Capers | distributor | Roadside_Attractions', 'Roadside_Attractions | foundingYear | 2003-01-01']				
reference_text : The movie Super Capers which starred Justin Whalin was distributed by Lionsgate and Roadside Attractions (founded in 2003).				
Generation : The distributor of SuperCapers is Lionsgate and the distributor is Roadside Explosions which was founded on January 1, 2003. The star of the film is Justin Gallin.	yes	no	yes	no
Sent-level factuality probability: 0.7002074122428894				
				
input_triples : ['Alan_B._Miller_Hall | architect | Robert_A._M._Stern', 'Alan_B._Miller_Hall | address | 101 Ukrop Way', 'Alan_B._Miller_Hall | buildingStartDate | 30 March 2007', 'Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business', 'Alan_B._Miller_Hall | location | Virginia', 'Mason_School_of_Business | country | United_States', 'Alan_B._Miller_Hall | owner | College_of_William_&_Mary']				
reference_text : The address of the Alan B. Miller Hall is "101 Ukrop Way" in Virginia, USA and it currently houses The Mason School of Business. The College of William and Mary is the owner of the Robert A.M. Stern designed hall which began construction on 30/03/2007.				
Generation : The Mason School of Business are the current tenants of Alan B Miller Hall, which is located at 101 Ukrop Way, in Virginia, United States. The Hall was designed by Robert A M Stern and is owned by the College of William and Mary.	no			
Sent-level factuality probability: 0.9857131838798523				
				
input_triples : ['Liselotte_Grschebina | birthDate | 1908-05-02', 'Liselotte_Grschebina | professionalField | Photographer', 'Liselotte_Grschebina | deathPlace | Petah_Tikva']				
reference_text : Liselotte Grschebina was a photographer born on the 2nd May 1908 and who died in Petah Tikva.				
Generation : Liselotte Gorschebina was born on the 2nd May 1908 and died in Petah Tikva. He was a Photographer and a professional photographer.	yes	yes	no	no
Sent-level factuality probability: 0.8331355452537537				
				
input_triples : ['Hypermarcas | location | Brazil', 'Hypermarcas | product | Drugs', 'Hypermarcas | product | Healthcare']				
reference_text : Hypermarcas, which is located in Brazil, sells healthcare products and its main product is drugs.				
Generation : Located in Brazil, Hypermarcas is a Brazilian company that produces pharmaceutical drugs and healthcare products.	no			
Sent-level factuality probability: 0.8104485869407654				
				
input_triples : ['Nie_Haisheng | mission | Shenzhou_10', 'Nie_Haisheng | mission | Shenzhou_6', 'Nie_Haisheng | birthDate | 1964-10-13', 'Nie_Haisheng | birthPlace | Zaoyang', 'Nie_Haisheng | birthPlace | Hubei']				
reference_text : Nie Haisheng, born on 10/13/1964 in Zaoyang, Hubei Province, was a crew member on Shenzhou 6 and he also took part in the Shenzhou 10 mission.				
Generation : Nie Haisheng was born in Zaoyang on October 13, 1964. He served as a crew member on Shenzhou 10 and was a member of the crew of the shenzhou 6 and Hubei, Huayang.	yes	no	yes	no
Sent-level factuality probability: 0.7097393870353699				
				
input_triples : ['Bionico | course | Dessert', 'Mexico | language | Spanish_language', 'Bionico | country | Mexico']				
reference_text : Bionico is a dessert found in Mexico and language of Mexico is Spanish.				
Generation : Bionico is a food found in Mexico where Spanish is spoken and the language is Spanish. It is served at the dessert course and is served as a dessert course.	yes	yes	no	no
Sent-level factuality probability: 0.5844725966453552				
				
input_triples : ['Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE', 'Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0', 'Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0', 'Adolfo_Suárez_Madrid–Barajas_Airport | location | San_Sebastián_de_los_Reyes']				
reference_text : The Adolfo Suárez Madrid–Barajas Airport is in San Sebastián de los Reyes and is operated by ENAIRE. The airport has a runway length of 3500 and is 610.0 metres above sea level.				
Generation : ENAIRE is the operating organisation for Adolfo Suárez Madrid–Barajas Airport in San Sebastian de los Reyes. The airport is 610 metres above sea level and has a runway length of 3500.	no			
Sent-level factuality probability: 0.992682933807373				
				
input_triples : ['Hypermarcas | location | Brazil', 'Hypermarcas | product | Drugs', 'Hypermarcas | foundingDate | 2001-01-01']				
reference_text : Hypermarcas, whose main product is drugs, was founded on January 1, 2001 and is located in Brazil.				
Generation : Founded on January 1, 2001, Hypermarcas, located in Brazil, produces pharmaceutical drugs.	no			
Sent-level factuality probability: 0.9949139356613159				
				
input_triples : ['Liselotte_Grschebina | birthPlace | Karlsruhe', 'Liselotte_Grschebina | birthDate | 1908-05-02', 'Liselotte_Grschebina | deathDate | 1994-06-14', 'Liselotte_Grschebina | birthPlace | German_Empire']				
reference_text : Liselotte Grschebina was born in Karlsruhe in the German Empire on May 2nd, 1908 and she died on June 14, 1994.				
Generation : Liselotte Gorschebina was born on May 2, 1908 in the German Empire and died on June 14th, 1994 in Karlsruhe.	no			
Sent-level factuality probability: 0.9642957448959351				
				
input_triples : ['Nord_(Year_of_No_Light_album) | producer | Year_of_No_Light', 'Year_of_No_Light | associatedBand/associatedMusicalArtist | Altar_of_Plagues']				
reference_text : Nord is an album produced by Year of No Light, which is also associated with Altar of Plagues.				
Generation : The musical genre of the band Nar of Plagues is No Light which is associated with the musical artist, Alar of Plgues. It was produced by the Year of No Light and with the band, Albar of Colours.	yes	yes	yes	yes
Sent-level factuality probability: 0.2225639373064041				
				
input_triples : ['Akeem_Ayers | debutTeam | Tennessee_Titans', 'Akeem_Ayers | birthDate | 1989-07-10']				
reference_text : Akeem Ayers was born on July 10, 1989 and made his debut for the Tennessee Titans.				
Generation : Akeem Ayers was born on July 10th 1989 and made his debut with the Tennessee Titans. He was a former member of the Nashville Titans and was the debut team of the player.	yes	no	yes	no
Sent-level factuality probability: 0.6727414727210999				
				
input_triples : ['English_Without_Tears | writer | Terence_Rattigan']				
reference_text : "English Without Tears" was written by Terence Rattigan.				
Generation : Terence Rattigan is the writer of English Without days which was written by Terence Gigan.	yes	no	yes	no
Sent-level factuality probability: 0.15565279126167297				
				
input_triples : ['Lady_Anne_Monson | residence | India', 'India | leader | Pranab_Mukherjee', 'Lady_Anne_Monson | nationality | Kingdom_of_England', 'India | areaTotal | 3287590000000.0']				
reference_text : Lady Anne Monson lived in the Kingdom of England and held British nationality but resided in India for most of her life. Pranab Mukherjee is the leader of India, which has a total area of 32875900000000.				
Generation : The leader of India is Pranab Muukherjee. The country is the location of Lady Anne Monson, who was born in the Kingdom of England and lives in India which has a total area of 3287590000000.0.	yes	yes	no	no
Sent-level factuality probability: 0.7083685398101807				
				
input_triples : ['Super_Capers | starring | Michael_Rooker', 'Super_Capers | starring | Tom_Sizemore', 'Super_Capers | language | English_language']				
reference_text : Michael Rooker played in Super Capers, an English-language film starring Tom Sizemore.				
Generation : Michael Moore starred in SuperCapers, which is written in English and starred Tom Stmore. Super Capers stars in the film which stars Tom Sizemore.	yes	yes	yes	yes
Sent-level factuality probability: 0.40626057982444763				
				
input_triples : ['Super_Capers | editing | Stacy_Katzman', 'Super_Capers | starring | Michael_Rooker', 'Super_Capers | starring | Tom_Sizemore', 'Super_Capers | language | English_language', 'Super_Capers | runtime | 98.0']				
reference_text : Super Capers is a 98 minute movie starring Michael Rooker and Tom Sizemore. Stacy Katzman edited Super Capers which was filmed in English.				
Generation : Michael Eatmore starred in Super Capers, which is edited by Stacy Matzman and starred Tom Stmore. They speak English and are 98 long and have a runtime of 98.0.	yes	yes	yes	yes
Sent-level factuality probability: 0.548389732837677				
				
input_triples : ['Super_Capers | editing | Stacy_Katzman', 'Super_Capers | starring | Michael_Rooker', 'Super_Capers | starring | Tom_Sizemore', 'Super_Capers | language | English_language', 'Super_Capers | runtime | 98.0']				
reference_text : Super Capers, a film starring Tom Sizemore and Michael Rooker, is 98 minutes long. In charge of editing was Stacy Katzman, and the film is in English.				
Generation : Michael Eatmore starred in Super Capers, which is edited by Stacy Matzman and starred Tom Stmore. They speak English and are 98 long and have a runtime of 98.0.	yes	yes	yes	yes
Sent-level factuality probability: 0.6632173657417297				
				
input_triples : ['GMA_New_Media | location | Philippines', 'Philippines | leader | Aquilino_Pimentel_III', 'Philippines | leader | Rodrigo_Duterte', 'GMA_New_Media | location | Quezon_City']				
reference_text : GMA New Media's headquarters are located in Quezon City in the Philippines, where Aquilino Pimentel III and Rodrigo Duterte are leaders of the country.				
Generation : GMA New Media is located in Quezon City, Philippines. The leaders of the Philippines are Aquilino Pimentel III and Rodrigo Duterte.	no			
Sent-level factuality probability: 0.9914500713348389				
				
input_triples : ['The_Fellowship_of_the_Ring | author | J._R._R._Tolkien', 'The_Fellowship_of_the_Ring | releaseDate | 1954-07-29']				
reference_text : The Fellowship of the Ring, written by J.R.R. Tolkien, was published on July 29, 1954.				
Generation : The author of The Rockship of the Ring was J.R. R. Tolkien and it was published on July 29, 1954. It was written by J. R R Tollkien, and its final resting date was on July 29th, 1954.	yes	yes	yes	yes
Sent-level factuality probability: 0.5218229293823242				
				
input_triples : ['Mermaid_(Train_song) | musicalBand | Train_(band)', 'Mermaid_(Train_song) | writer | Espen_Lind', 'Mermaid_(Train_song) | runtime | 3.16', 'Mermaid_(Train_song) | genre | Reggae', 'Mermaid_(Train_song) | writer | Amund_Bjørklund', 'Mermaid_(Train_song) | followedBy | Imagine_(John_Lennon_song)', 'Mermaid_(Train_song) | producer | Espionage_(production_team)']				
reference_text : The song Mermaid was performed by the musical band Train. It was written by band members Espen Lind and Amund Bjorklund in the reggae genre and has a total length of three minutes and sixteen seconds. The song was produced by the production team Espionage and the band followed it up with a cover of John Lennon’s Imagine.				
Generation : The musical genre of Mermaid (Trainsong) is Regae. It was written by Amund Bjrklund and is 3.16 m long. It is a production team and was followed by Imagine (John Lennon song).	no			
Sent-level factuality probability: 0.5491848587989807				
				
input_triples : ['Brandon_Carter | knownFor | Doomsday_argument']				
reference_text : Brandon Carter is known for the Doomsday argument.				
Generation : Brandon Carter is known for Doomsdayargument and was a member of the doomsday army.	yes	yes	yes	yes
Sent-level factuality probability: 0.42478397488594055				
				
input_triples : ['Lionsgate | service | Digital_distribution']				
reference_text : Digital distribution is a service of Lionsgate.				
Generation : Lionsgate is a digital company that offers services concerning the digital distribution.	yes	no	yes	no
Sent-level factuality probability: 0.6438497304916382				
				
input_triples : ['1147_Stavropolis | apoapsis | 418476000000.0', '1147_Stavropolis | absoluteMagnitude | 11.5', '1147_Stavropolis | discovered | 1929-06-11']				
reference_text : 1147 Stavropolis discovered on June 11, 1929 has an apoapsis of 418476000000.0 and an absolute magnitude of 11.5.				
Generation : 1147 Stavropolis was discovered on June 11, 1929. It has an apoapsis of 418476000000.0 and an absolute magnitude of 11.5. Its absolute magnitude is 11.5 and its total magnitude is 1,184.	yes	no	yes	no
Sent-level factuality probability: 0.9169646501541138				
				
input_triples : ['Death_on_a_Factory_Farm | editor | Geof_Bartz']				
reference_text : Death on a Factory Farm was edited by Geof Bartz.				
Generation : The death on a Factory Farm was edited by Geof Bartz and edited by Death on the Factory Fatz. The film is edited by the publisher of the film, Death on A Fairfax.	yes	yes	yes	yes
Sent-level factuality probability: 0.3950343132019043				
				
input_triples : ['Ciudad_Ayala | type | City', 'Ciudad_Ayala | populationDensity | 1604.0', 'Ciudad_Ayala | utcOffset | −6', 'Ciudad_Ayala | leaderTitle | Governator']				
reference_text : Ciudad Ayala is a city with a UTC offset of -6. The population density of Ciudad Ayala in 1604.0 and the leader of this population is called a governator.				
Generation : The city of Ciudad Ayala is governed by the Governator and has a population density of 1604.0. The city is the location of the city of I6 and the UTC offset is 6.	yes	yes	yes	yes
Sent-level factuality probability: 0.8046420216560364				
				
input_triples : ['Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania', '11th_Mississippi_Infantry_Monument | established | 2000', '11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania', '11th_Mississippi_Infantry_Monument | category | Contributing_property', 'Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania']				
reference_text : The 11th Mississippi Infantry Monument, established in the year 2000, falls under the category of contributing property and is located in Adams County Pennsylvania which is East of Franklin County, Pennsylvania. Adams County also has Cumberland County, Pennsylvania to its north.				
Generation : The 11th Mississippi Infantry Monument was established in 2000 and categorised as a contributing property. It is located in Adams County, Pennsylvania which has Franklin County to its west and Cumberland County Pennsylvania to its north.	no			
Sent-level factuality probability: 0.9899231195449829				
				
input_triples : ['Super_Capers | language | English_language']				
reference_text : The language of the movie Super Capers is English.				
Generation : English is the language spoken in SuperCapers, which is written in English.	yes	no	yes	no
Sent-level factuality probability: 0.11955440044403076				
				
input_triples : ['English_Without_Tears | producer | Anatole_de_Grunwald', 'Anatole_de_Grunwald | birthDate | 1910-12-25']				
reference_text : "English Without Tears" was produced by Anatole de Grunwald, who was born on December 25th 1910.				
Generation : Anatole de Grunwald, born on December 25, 1910, is the producer of English Without days. He was born on the 25th of December, 1910.	yes	no	yes	no
Sent-level factuality probability: 0.9478805065155029				
				
input_triples : ['Alan_Shepard | birthDate | 1923-11-18', 'Alan_Shepard | nationality | United_States', 'Alan_Shepard | servedAsChiefOfTheAstronautOfficeIn | 1963', 'Alan_Shepard | deathPlace | California', 'Alan_Shepard | selectedByNasa | 1959', 'Alan_Shepard | birthPlace | New_Hampshire', 'Alan_Shepard | award | Distinguished_Service_Medal_(United_States_Navy)']				
reference_text : Alan Shepard was an American, born on November 18, 1923 in New Hampshire. He was selected by NASA in 1959, and was the Chief of the Astronaut Office in 1963. The United States Navy awarded him the Distinguished Service Medal. He died in California.				
Generation : American Alan Shepard was born in New Hampshire on November 18, 1923. He was selected by NASA in 1959 and served as Chief of the Astronaut Office in 1963 and was awarded the Distinguished Service Medal by the US Navy. He died in California.	no			
Sent-level factuality probability: 0.9911211133003235				
				
input_triples : ['Turn_Me_On_(album) | precededBy | Let_It_Breed', 'Turn_Me_On_(album) | runtime | 35.1']				
reference_text : The album Turn Me On, which has a runtime of 35.1 minutes, is preceded by the album Let It Breed.				
Generation : The musical genre of turn me on is turn meon, which was preceded by Let It Greed. It is the sequel to turn measuring 35.1 m long and has a runtime of 35.1.	yes	yes	yes	yes
Sent-level factuality probability: 0.18643388152122498				
				
input_triples : ['Hypermarcas | location | Brazil', 'Hypermarcas | type | S.A._(corporation)', 'Hypermarcas | subsidiary | Mantecorp', 'Hypermarcas | netIncome | 108600000', 'Hypermarcas | numberOfEmployees | 10252', 'Hypermarcas | location | São_Paulo']				
reference_text : Hypermarcas S.A. (a Brazilian company located in São Paulo) is a 10252 employee enterprise with net income of 108,600,000. The company has a subsidiary Mantecorp.				
Generation : Mantecorp is a subsidiary of Hypermarcas, a type of S.A. corporation located in Sao Paulo, Brazil, which employs 10,252 people and has a net income of 108,600,000.	yes	yes	no	no
Sent-level factuality probability: 0.8852605223655701				
				
input_triples : ['Justin_Whalin | occupation | Presenter']				
reference_text : Justin Whalin was a presenter.				
Generation : The presenter, Justin Whillin, is a presenter.	yes	yes	no	no
Sent-level factuality probability: 0.7339358925819397				
				
input_triples : ['Nie_Haisheng | mission | Shenzhou_10', 'Nie_Haisheng | mission | Shenzhou_6', 'Nie_Haisheng | birthDate | 1964-10-13', 'Nie_Haisheng | birthPlace | Zaoyang']				
reference_text : Nie Haisheng was born on 10/13/1964 in Zaoyang. Nie Haisheng was a crew member on Shenzhou 6 and took part in the Shenzhou 10 mission.				
Generation : Nie Haisheng was born in Zaoyang on October 13, 1964. He served as a crew member on Shenzhou 10 and was a member of the Shendzhou 6 crew.	no			
Sent-level factuality probability: 0.803992748260498				
				
input_triples : ['Death_on_a_Factory_Farm | director | Tom_Simon', 'Death_on_a_Factory_Farm | producer | Tom_Simon', 'Death_on_a_Factory_Farm | broadcastedBy | HBO', 'Death_on_a_Factory_Farm | editor | Geof_Bartz', 'Death_on_a_Factory_Farm | runtime | 83.0']				
reference_text : The HBO film Death on a Factory Farm was produced and directed by Tom Simon. The film, which runs 83 minutes, was edited by Geof Bartz.				
Generation : Tom Simon is the director of Death on a Factory Farm which is broadcasted by HBO. It is 83.0 in length and was edited by Geof Bartz and produced by Tom Simon.	no			
Sent-level factuality probability: 0.9041501879692078				
				
input_triples : ['Nord_(Year_of_No_Light_album) | followedBy | Live_at_Roadburn_2008_(Year_of_No_Light_album)', 'Nord_(Year_of_No_Light_album) | genre | Sludge_metal', 'Nord_(Year_of_No_Light_album) | producer | Year_of_No_Light']				
reference_text : Live at Roadburn 2008 was preceded by Nord, an album produced by Year of No Light, which is in the sludge metal genre.				
Generation : Sludge metal is a genre of the band, which was produced by Year of No Light. It is the musical genre for the band NRB and was followed by Live at Rotburn 2008.	yes	yes	yes	yes
Sent-level factuality probability: 0.8461594581604004				
				
input_triples : ['Trane | location | Swords,_Dublin', 'Swords,_Dublin | leaderTitle | County Manager']				
reference_text : The title of the leader of Swords, Dublin, where Trane is located, is County Manager.				
Generation : Trane is located in Swords, Dublin, which is led by a county manager.	no			
Sent-level factuality probability: 0.9863454699516296				
				
input_triples : ['Akeem_Ayers | draftRound | 2', 'Akeem_Ayers | debutTeam | Tennessee_Titans']				
reference_text : Akeem Ayers was in draft round 2 and made his debut for the Tennessee Titans.				
Generation : Akeem Ayers, who made his debut for the Tennessee Titans, was drafted in round 2. He was in draft round 2 and was number 2 in the draft pick.	yes	yes	yes	yes
Sent-level factuality probability: 0.8703832626342773				
				
input_triples : ['Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)', 'Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)']				
reference_text : Expect a Miracle was recorded and produced by Brian Kelly.				
Generation : Brian Kelly is the artist of the musical genre of the band, 'Tudor a Miracle' which was produced by Brian Kelly, acomposer and pianist. It was created by Brian Nelly, who is an artist for the band & Pianist.	yes	yes	yes	yes
Sent-level factuality probability: 0.09751231968402863				
				
input_triples : ['1147_Stavropolis | apoapsis | 418476000000.0', '1147_Stavropolis | orbitalPeriod | 1249.6', '1147_Stavropolis | discoverer | Grigory_Neujmin', '1147_Stavropolis | absoluteMagnitude | 11.5']				
reference_text : Grigory Neujmin discovered the asteroid 1147 Stavropolis of an absolute magnitude of 11.5, with 418476000000.0 apoapsis and 1249.6 days orbital period.				
Generation : The celestial body known as 1147 Stavropolis was discovered by Grigory Neujmin. It has an apoapsis of 418476000000.0, an orbital period of 1249.6 and an absolute magnitude of 11.5.	no			
Sent-level factuality probability: 0.8714815974235535				
				
input_triples : ['Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground', 'Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records', 'Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Universal_Music_Group']				
reference_text : The producer of the album Bootleg Series Volume 1: The Quine Tapes (recorded under the Polydor Records label on Universal Music Group) was the Velvet Underground.				
Generation : The label Universal Music group and Polydor Records are the record labels of Bootleg Serie 1: The Quine Tames which was produced by The Velvet United Ground. The record label is the Universal Music Group and is signed to the record label 'Universo Mule 1', which was once signed to The Violett Unitedderground'.	yes	yes	yes	yes
Sent-level factuality probability: 0.8160126805305481				
				
input_triples : ['Train_(band) | formerBandMember | Charlie_Colin']				
reference_text : Charlie Colin is the former member of Train.				
Generation : Charlie Colin is a former member of the band, Train, who once played with the band Twigh. The band is now a member of CharlieColin and has a musical background as a musician.	yes	yes	yes	yes
Sent-level factuality probability: 0.2025814801454544				
				
input_triples : ['Mermaid_(Train_song) | genre | Pop_rock', 'Mermaid_(Train_song) | musicalBand | Train_(band)', 'Mermaid_(Train_song) | runtime | 3.16']				
reference_text : Mermaid is a pop rock song by Train. It is three minutes and sixteen seconds long.				
Generation : The musical genre of Mermaid (Trainsong) is pop rock and has a musical background in 3.16. It is a pop rock musician with a band called the Train and a 3.16 kilometer long run.	yes	yes	yes	yes
Sent-level factuality probability: 0.22306866943836212				
				
input_triples : ['Abraham_A._Ribicoff | spouse | Ruth Ribicoff', 'Abraham_A._Ribicoff | nationality | American', 'Abraham_A._Ribicoff | birthPlace | United_States', 'Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare']				
reference_text : Abraham A. Ribicoff, whose spouse is Ruth Ribicoff, is an American citizen and was born in the USA. He worked for the United States Secretary of Health, Education, and Welfare office.				
Generation : American Abraham A. Ribicoff was born in the U.S. and worked as the United States Secretary of Health, Education, and Welfare. He was married to Ruth Ribbicoff.	no			
Sent-level factuality probability: 0.969455361366272				
				
input_triples : ['English_Without_Tears | producer | Anatole_de_Grunwald', 'English_Without_Tears | writer | Anatole_de_Grunwald']				
reference_text : "English Without Tears" was produced and written by Anatole de Grunwald.				
Generation : Anatole de Grunwald is the producer of English Out Out Tears, which was written by Anato Le de Gaswald. The film is written in English with a total of two genres: English without stages, a film that was produced by AnaTole de Gasha and Anatoles de Grwald.	yes	yes	yes	yes
Sent-level factuality probability: 0.1749616414308548				
				
input_triples : ['Ciudad_Ayala | country | Mexico', 'Ciudad_Ayala | timeZone | Pacific_Daylight_Time', 'Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone']				
reference_text : Ciudad Ayala located in the country of Mexico uses the Pacific Standard Time Zone and Pacific Daylight Time.				
Generation : The time zone for the city of Ciudad Ayala, Mexico, is Pacific Day Time, and it is in the Pacific City Time Zone.	yes	no	yes	no
Sent-level factuality probability: 0.4340473711490631				
